timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
07-09-2012,6.98,6.98,6.98,6.98,5.789736879,0,0,1
,,,,,,,,
06-09-2012,7,7,7,7,5.806326383,0,0,1
,,,,,,,,
05-09-2012,6.84,6.84,6.84,6.84,5.673610351,0,0,1
,,,,,,,,
04-09-2012,6.85,6.85,6.85,6.85,5.681905103,0,0,1
,,,,,,,,
31-08-2012,6.85,6.85,6.85,6.85,5.681905103,0,0,1
,,,,,,,,
30-08-2012,6.81,6.81,6.81,6.81,5.648726095,0,0,1
,,,,,,,,
29-08-2012,6.88,6.88,6.88,6.88,5.706789359,0,0,1
,,,,,,,,
28-08-2012,6.88,6.88,6.88,6.88,5.706789359,0,0,1
,,,,,,,,
27-08-2012,6.88,6.88,6.88,6.88,5.706789359,0,0,1
,,,,,,,,
24-08-2012,6.87,6.87,6.87,6.87,5.698494607,0,0,1
,,,,,,,,
23-08-2012,6.84,6.84,6.84,6.84,5.673610351,0,0,1
,,,,,,,,
22-08-2012,6.89,6.89,6.89,6.89,5.715084111,0,0,1
,,,,,,,,
21-08-2012,6.87,6.87,6.87,6.87,5.698494607,0,0,1
,,,,,,,,
20-08-2012,6.9,6.9,6.9,6.9,5.723378863,0,0,1
,,,,,,,,
17-08-2012,6.89,6.89,6.89,6.89,5.715084111,0,0,1
,,,,,,,,
16-08-2012,6.87,6.87,6.87,6.87,5.698494607,0,0,1
,,,,,,,,
15-08-2012,6.79,6.79,6.79,6.79,5.632136591,0,0,1
,,,,,,,,
14-08-2012,6.76,6.76,6.76,6.76,5.607252335,0,0,1
,,,,,,,,
13-08-2012,6.76,6.76,6.76,6.76,5.607252335,0,0,1
,,,,,,,,
10-08-2012,6.75,6.75,6.75,6.75,5.598957583,0,0,1
,,,,,,,,
09-08-2012,6.74,6.74,6.74,6.74,5.590662831,0,0,1
,,,,,,,,
08-08-2012,6.72,6.72,6.72,6.72,5.574073327,0,0,1
,,,,,,,,
07-08-2012,6.73,6.73,6.73,6.73,5.582368079,0,0,1
,,,,,,,,
06-08-2012,6.67,6.67,6.67,6.67,5.532599568,0,0,1
,,,,,,,,
03-08-2012,6.62,6.62,6.62,6.62,5.491125808,0,0,1
,,,,,,,,
02-08-2012,6.5,6.5,6.5,6.5,5.391588784,0,0,1
,,,,,,,,
01-08-2012,6.52,6.52,6.52,6.52,5.408178288,0,0,1
,,,,,,,,
31-07-2012,6.54,6.54,6.54,6.54,5.424767792,0,0,1
,,,,,,,,
30-07-2012,6.54,6.54,6.54,6.54,5.424767792,0,0,1
,,,,,,,,
27-07-2012,6.56,6.56,6.56,6.56,5.441357296,0,0,1
,,,,,,,,
26-07-2012,6.4,6.4,6.4,6.4,5.308641264,0,0,1
,,,,,,,,
25-07-2012,6.31,6.31,6.31,6.31,5.233988496,0,0,1
,,,,,,,,
24-07-2012,6.34,6.34,6.34,6.34,5.258872752,0,0,1
,,,,,,,,
23-07-2012,6.4,6.4,6.4,6.4,5.308641264,0,0,1
,,,,,,,,
20-07-2012,6.47,6.47,6.47,6.47,5.366704528,0,0,1
,,,,,,,,
19-07-2012,6.56,6.56,6.56,6.56,5.441357296,0,0,1
,,,,,,,,
18-07-2012,6.49,6.49,6.49,6.49,5.383294032,0,0,1
,,,,,,,,
17-07-2012,6.4,6.4,6.4,6.4,5.308641264,0,0,1
,,,,,,,,
16-07-2012,6.36,6.36,6.36,6.36,5.275462256,0,0,1
,,,,,,,,
13-07-2012,6.38,6.38,6.38,6.38,5.29205176,0,0,1
,,,,,,,,
12-07-2012,6.29,6.29,6.29,6.29,5.217398992,0,0,1
,,,,,,,,
11-07-2012,6.35,6.35,6.35,6.35,5.267167504,0,0,1
,,,,,,,,
10-07-2012,6.38,6.38,6.38,6.38,5.29205176,0,0,1
,,,,,,,,
09-07-2012,6.45,6.45,6.45,6.45,5.350115024,0,0,1
,,,,,,,,
06-07-2012,6.45,6.45,6.45,6.45,5.350115024,0,0,1
,,,,,,,,
05-07-2012,6.54,6.54,6.54,6.54,5.424767792,0,0,1
,,,,,,,,
03-07-2012,6.54,6.54,6.54,6.54,5.424767792,0,0,1
,,,,,,,,
02-07-2012,6.49,6.49,6.49,6.49,5.383294032,0,0,1
,,,,,,,,
29-06-2012,6.47,6.47,6.47,6.47,5.366704528,0,0,1
,,,,,,,,
28-06-2012,6.27,6.27,6.27,6.27,5.200809489,0,0,1
,,,,,,,,
27-06-2012,6.34,6.34,6.34,6.34,5.258872752,0,0,1
,,,,,,,,
26-06-2012,6.3,6.3,6.3,6.3,5.225693744,0,0,1
,,,,,,,,
25-06-2012,6.26,6.26,6.26,6.26,5.192514737,0,0,1
,,,,,,,,
22-06-2012,6.39,6.39,6.39,6.39,5.300346512,0,0,1
,,,,,,,,
21-06-2012,6.32,6.32,6.32,6.32,5.242283248,0,0,1
,,,,,,,,
20-06-2012,6.48,6.48,6.48,6.48,5.37499928,0,0,1
,,,,,,,,
19-06-2012,6.48,6.48,6.48,6.48,5.37499928,0,0,1
,,,,,,,,
18-06-2012,6.41,6.41,6.41,6.41,5.316936016,0,0,1
,,,,,,,,
15-06-2012,6.36,6.36,6.36,6.36,5.275462256,0,0,1
,,,,,,,,
14-06-2012,6.28,6.28,6.28,6.28,5.209104241,0,0,1
,,,,,,,,
13-06-2012,6.25,6.25,6.25,6.25,5.184219985,0,0,1
,,,,,,,,
12-06-2012,6.3,6.3,6.3,6.3,5.225693744,0,0,1
,,,,,,,,
11-06-2012,6.23,6.23,6.23,6.23,5.167630481,0,0,1
,,,,,,,,
08-06-2012,6.33,6.33,6.33,6.33,5.250578,0,0,1
,,,,,,,,
07-06-2012,6.28,6.28,6.28,6.28,5.209104241,0,0,1
,,,,,,,,
06-06-2012,6.31,6.31,6.31,6.31,5.233988496,0,0,1
,,,,,,,,
05-06-2012,6.16,6.16,6.16,6.16,5.109567217,0,0,1
,,,,,,,,
04-06-2012,6.13,6.13,6.13,6.13,5.084682961,0,0,1
,,,,,,,,
01-06-2012,6.09,6.09,6.09,6.09,5.051503953,0,0,1
,,,,,,,,
31-05-2012,6.25,6.25,6.25,6.25,5.184219985,0,0,1
,,,,,,,,
30-05-2012,6.28,6.28,6.28,6.28,5.209104241,0,0,1
,,,,,,,,
29-05-2012,6.33,6.33,6.33,6.33,5.250578,0,0,1
,,,,,,,,
25-05-2012,6.25,6.25,6.25,6.25,5.184219985,0,0,1
,,,,,,,,
24-05-2012,6.26,6.26,6.26,6.26,5.192514737,0,0,1
,,,,,,,,
23-05-2012,6.3,6.3,6.3,6.3,5.225693744,0,0,1
,,,,,,,,
22-05-2012,6.28,6.28,6.28,6.28,5.209104241,0,0,1
,,,,,,,,
21-05-2012,6.3,6.3,6.3,6.3,5.225693744,0,0,1
,,,,,,,,
18-05-2012,6.13,6.13,6.13,6.13,5.084682961,0,0,1
,,,,,,,,
17-05-2012,6.21,6.21,6.21,6.21,5.151040977,0,0,1
,,,,,,,,
16-05-2012,6.34,6.34,6.34,6.34,5.258872752,0,0,1
,,,,,,,,
15-05-2012,6.39,6.39,6.39,6.39,5.300346512,0,0,1
,,,,,,,,
14-05-2012,6.41,6.41,6.41,6.41,5.316936016,0,0,1
,,,,,,,,
11-05-2012,6.47,6.47,6.47,6.47,5.366704528,0,0,1
,,,,,,,,
10-05-2012,6.48,6.48,6.48,6.48,5.37499928,0,0,1
,,,,,,,,
09-05-2012,6.49,6.49,6.49,6.49,5.383294032,0,0,1
,,,,,,,,
08-05-2012,6.51,6.51,6.51,6.51,5.399883536,0,0,1
,,,,,,,,
07-05-2012,6.53,6.53,6.53,6.53,5.41647304,0,0,1
,,,,,,,,
04-05-2012,6.53,6.53,6.53,6.53,5.41647304,0,0,1
,,,,,,,,
03-05-2012,6.69,6.69,6.69,6.69,5.549189071,0,0,1
,,,,,,,,
02-05-2012,6.77,6.77,6.77,6.77,5.615547087,0,0,1
,,,,,,,,
01-05-2012,6.75,6.75,6.75,6.75,5.598957583,0,0,1
,,,,,,,,
30-04-2012,6.74,6.74,6.74,6.74,5.590662831,0,0,1
,,,,,,,,
27-04-2012,6.78,6.78,6.78,6.78,5.623841839,0,0,1
,,,,,,,,
26-04-2012,6.74,6.74,6.74,6.74,5.590662831,0,0,1
,,,,,,,,
25-04-2012,6.7,6.7,6.7,6.7,5.557483823,0,0,1
,,,,,,,,
24-04-2012,6.53,6.53,6.53,6.53,5.41647304,0,0,1
,,,,,,,,
23-04-2012,6.56,6.56,6.56,6.56,5.441357296,0,0,1
,,,,,,,,
20-04-2012,6.62,6.62,6.62,6.62,5.491125808,0,0,1
,,,,,,,,
19-04-2012,6.64,6.64,6.64,6.64,5.507715312,0,0,1
,,,,,,,,
18-04-2012,6.71,6.71,6.71,6.71,5.565778575,0,0,1
,,,,,,,,
17-04-2012,6.73,6.73,6.73,6.73,5.582368079,0,0,1
,,,,,,,,
16-04-2012,6.6,6.6,6.6,6.6,5.474536304,0,0,1
,,,,,,,,
13-04-2012,6.67,6.67,6.67,6.67,5.532599568,0,0,1
,,,,,,,,
12-04-2012,6.77,6.77,6.77,6.77,5.615547087,0,0,1
,,,,,,,,
11-04-2012,6.7,6.7,6.7,6.7,5.557483823,0,0,1
,,,,,,,,
10-04-2012,6.66,6.66,6.66,6.66,5.524304816,0,0,1
,,,,,,,,
09-04-2012,6.77,6.77,6.77,6.77,5.615547087,0,0,1
,,,,,,,,
05-04-2012,6.83,6.83,6.83,6.83,5.665315599,0,0,1
,,,,,,,,
04-04-2012,6.79,6.79,6.79,6.79,5.632136591,0,0,1
,,,,,,,,
03-04-2012,6.88,6.88,6.88,6.88,5.706789359,0,0,1
,,,,,,,,
02-04-2012,6.88,6.88,6.88,6.88,5.706789359,0,0,1
,,,,,,,,
30-03-2012,6.81,6.81,6.81,6.81,5.648726095,0,0,1
,,,,,,,,
